CONG119,STATE,DISTRICT,TOTPOP20,NH White,NH Black plus NH Black and White,NH Asian plus NH Asian and White,NH American Indian plus NH American Indian and White,NH Pacific Islander plus NH Pacific Islander and White,NH Some Other Race plus NH Some Other Race and White,NH Other multiple-race,Hispanic,TOT_HOUS22_est,LESS_10K22_est,10K_15K22_est,15K_20K22_est,20K_25K22_est,25K_30K22_est,30K_35K22_est,35K_40K22_est,40K_45K22_est,45K_50K22_est,50K_60K22_est,60K_75K22_est,75K_100K22_est,100_125K22_est,125_150K22_est,150_200K22_est,200K_MOR22_est,Median_HH_Income_Est,BACH_PLUS_pct,FOREIGN_BORN_pct,ENG_LW_pct,Total_20_Pres_Votes_Est,G20PREDBID_pct,G20PRELJOR_pct,G20PRERTRU_pct
AK-AT-LARGE,AK,AT-LARGE,733391,0.5751,0.0355,0.0719,0.1975,0.0189,0.0162,0.0169,0.0679,264376.0,10232.0,6532.0,8396.0,6849.0,7122.0,7516.0,7812.0,9122.0,7900.0,16194.0,25350.0,37590.0,30275.0,21713.0,29177.0,32596.0,75K_100K,0.3075,0.0976,0.0427,352626.33,0.4361,0.0252,0.5387
AL-01,AL,01,717754,0.7234,0.1705,0.018,0.0271,0.0009,0.0093,0.0042,0.0466,273332.81,15729.39,14211.93,12660.21,11930.65,12986.92,11495.79,11873.42,11667.07,11237.84,21039.11,25085.09,36424.99,24671.9,17081.33,18267.99,16969.19,60K_75K,0.2414,0.0379,0.0176,325181.59,0.242,0.0103,0.7477
AL-02,AL,02,717754,0.4157,0.4988,0.0214,0.0144,0.0008,0.0059,0.0062,0.037,278695.8,23322.51,18903.24,16815.05,15545.31,13907.13,13354.48,12741.44,13521.97,12162.76,21090.31,26018.63,29653.06,21829.37,13687.52,13918.37,12224.64,45K_50K,0.2527,0.0413,0.0184,312716.78,0.5578,0.0091,0.4331
AL-03,AL,03,717754,0.6996,0.2121,0.0205,0.0181,0.0007,0.007,0.0037,0.0383,273635.24,20973.84,15943.92,13682.05,14502.49,11820.16,13469.23,12004.58,12291.88,10098.0,20488.0,26375.45,34252.71,24230.6,16199.09,14948.24,12355.0,50K_60K,0.225,0.0351,0.0172,322031.52,0.2899,0.0103,0.6998
AL-04,AL,04,717754,0.8021,0.0759,0.0082,0.0239,0.0007,0.0068,0.0022,0.0802,272152.2,16420.66,15921.32,13704.5,14888.59,14420.53,11761.92,12149.8,12134.01,11064.08,21326.72,25675.44,35635.43,23831.15,15147.57,15923.32,12147.15,50K_60K,0.199,0.0435,0.0306,325708.87,0.1846,0.0096,0.8059
AL-05,AL,05,717754,0.6782,0.1843,0.0248,0.0306,0.0013,0.0091,0.0056,0.0661,286428.99,13180.43,11159.93,11062.03,11905.98,11235.59,12754.0,10523.0,10705.54,10150.97,21516.66,25479.41,36672.61,26168.49,20445.03,25880.59,27588.71,60K_75K,0.3515,0.0588,0.0248,344866.21,0.3563,0.0162,0.6275
AL-06,AL,06,717755,0.7117,0.1817,0.0225,0.0171,0.0005,0.0082,0.0033,0.055,270012.59,11748.92,8000.34,8239.64,8538.61,9550.49,9588.83,8930.65,9674.34,9027.44,18605.6,26333.9,36796.91,28758.7,20303.41,25027.91,30886.89,75K_100K,0.3779,0.0463,0.0215,353396.98,0.3034,0.012,0.6846
AL-07,AL,07,717754,0.3879,0.5326,0.0155,0.0087,0.0006,0.0052,0.0048,0.0448,278892.38,23592.24,19928.3,16295.51,16209.38,14167.19,14532.75,13296.11,10897.18,12065.91,19868.6,26215.08,31235.29,18047.78,14524.04,14811.58,13205.42,45K_50K,0.2562,0.0357,0.0196,332067.69,0.6412,0.0083,0.3505
AR-01,AR,01,752509,0.7329,0.1813,0.0091,0.0237,0.0019,0.0088,0.0034,0.0389,290635.93,18315.67,20663.24,17190.73,18175.39,15614.69,15804.72,14338.45,13132.69,12700.43,24205.31,27569.06,33699.64,22573.2,12846.1,12584.74,11221.87,45K_50K,0.1757,0.0253,0.0121,280890.29,0.2866,0.009,0.7043
AR-02,AR,02,752710,0.6627,0.2127,0.0224,0.0241,0.0008,0.0098,0.0054,0.062,305851.87,18760.03,12995.94,13743.43,14217.07,15590.38,14313.11,13460.39,12980.93,13495.44,22799.81,29295.54,37711.27,27794.58,17644.9,20426.36,20622.69,60K_75K,0.3253,0.0448,0.02,327926.94,0.4277,0.0113,0.561
